Event_ID,Concert_Name,Concert_Date,Ticket_Sale_Status,Ticket_Min_Price,Ticket_Max_Price,Ticket_Limitation,Venue_ID
vvG1IZbFSkKfhJ,Shakira - Las Mujeres Ya No Lloran - World Tour,11/2/24,onsale,201.5,564.75,There is an overall 6 ticket limit for this event.,KovZ917A-Tn
vvG1IZbFTpcNCA,Shakira - Las Mujeres Ya No Lloran - World Tour,11/3/24,onsale,201.5,564.75,There is an overall 6 ticket limit for this event.,KovZ917A-Tn
1Av0ZbFGkTIDVAd,Shakira - Las Mujeres Ya No Lloran - World Tour,11/7/24,onsale,144.5,484.5,There is an overall 6 ticket limit for this event.,KovZpZAE617A
vv170ZbFGkMDd4OB,Shakira - Las Mujeres Ya No Lloran - World Tour,11/9/24,onsale,249.5,589.5,There is an overall 6 ticket limit for this event.,KovZpZAEkn6A
G5dIZbFwIrgO8,Shakira - Las Mujeres Ya No Lloran - World Tour,11/16/24,onsale,189.5,499.5,There is an overall 6 ticket limit for this event.,KovZpZAJJEdA
vvG1YZbFSrWgPY,Shakira - Las Mujeres Ya No Lloran - World Tour,11/17/24,onsale,149.5,491.5,There is an overall 6 ticket limit for this event.,KovZpZAJ67eA
vvG1VZbFU3Rv5A,Shakira - Las Mujeres Ya No Lloran - World Tour,11/20/24,onsale,145.5,485.5,There is a six (6) ticket limit for this event.,KovZpZAJtFaA
vvG1VZbFX9ZdVo,Shakira - Las Mujeres Ya No Lloran - World Tour,11/21/24,onsale,145.5,485.5,There is a six (6) ticket limit for this event.,KovZpZAJtFaA
G5eVZbFMbObre,Shakira - Las Mujeres Ya No Lloran - World Tour,11/23/24,onsale,129.5,429.5,No Limit,KovZpZA6AEIA
1AvfZbFGkRnDJIs,Shakira - Las Mujeres Ya No Lloran - World Tour,11/25/24,onsale,129.5,429.5,There is an overall 6 ticket limit for this event.,KovZpaKuJe
1AvZZbFGkRDEKcW,Shakira - Las Mujeres Ya No Lloran - World Tour,11/30/24,onsale,139.5,459.5,There is an overall 6 ticket limit for this event.,KovZpZAFFE1A
1AdZZbFGkww3sSf,Shakira - Las Mujeres Ya No Lloran - World Tour,12/5/24,onsale,149.5,489.5,There is a 6 ticket limit on this event,KovZ917AtP3
1AYZke8GkdyGvh8,Shakira - Las Mujeres Ya No Lloran - World Tour,12/6/24,onsale,149.5,489.5,There is a 6 ticket limit on this event,KovZ917AtP3
vv177ZbFGkwEuVoY,Shakira - Las Mujeres Ya No Lloran - World Tour,12/8/24,onsale,119.5,399.5,There is an overall 6 ticket limit for this event.,KovZpa2gne
1Ad7ZbFGkmFYsMD,Shakira - Las Mujeres Ya No Lloran - World Tour,12/10/24,onsale,119.5,4344.5,Il y a une limite de 6 billets pour cet événement - There is a 6 ticket limit on this event.,KovZpauRJe
vv178ZbFGkR05dgA,Shakira - Las Mujeres Ya No Lloran - World Tour,12/14/24,onsale,144.5,485,There is an overall 6 ticket limit for this event.,KovZpa2M7e